year,food_code,mod_code,method,method_description,nhanes,price_100gm
2015/2016,57339000,NA,2,Links to altEC,Base,0.786645
2015/2016,57339500,NA,2,Links to altEC,Base,0.891827
2015/2016,57344000,NA,2,Links to altEC,Base,0.830599
2015/2016,57344005,NA,2,Links to altEC,Extra,0.812424
2015/2016,57344010,NA,2,Links to altEC,Base,0.905448
2015/2016,57344015,NA,2,Links to altEC,Base,0.905448
2015/2016,57344020,NA,2,Links to altEC,Base,0.905448
2015/2016,57344025,NA,2,Links to altEC,Extra,0.750673
2015/2016,57347000,NA,2,Links to altEC,Base,0.738877
2015/2016,57348000,NA,2,Links to altEC,Base,0.440034
2015/2016,57349000,NA,2,Links to altEC,Base,0.586424
2015/2016,57355000,NA,2,Links to altEC,Extra,0.623855
2015/2016,57401100,NA,1,Links to FNDDS,Extra,0.530795
2015/2016,57407100,NA,2,Links to altEC,Base,0.783671
2015/2016,57411000,NA,2,Links to altEC,Extra,0.746222
2015/2016,57412000,NA,2,Links to altEC,Extra,1.297063
2015/2016,57416000,NA,2,Links to altEC,Extra,1.30692
2015/2016,57416010,NA,2,Links to altEC,Extra,0.710615
2015/2016,57417000,NA,2,Links to altEC,Base,0.640733
2015/2016,57418000,NA,2,Links to altEC,Extra,0.817538
2015/2016,57601100,NA,2,Links to altEC,Extra,0.459781
2015/2016,57602100,NA,2,Links to altEC,Base,0.426836
2015/2016,57602500,NA,2,Links to altEC,Extra,0.619702
2015/2016,57801000,NA,2,Links to altEC,Base,5.166815
2015/2016,57803000,NA,1,Links to FNDDS,Base,5.166815
2015/2016,57804000,NA,1,Links to FNDDS,Base,3.396815
2015/2016,57805000,NA,1,Links to FNDDS,Base,3.99369
2015/2016,57806200,NA,1,Links to FNDDS,Base,3.572734
2015/2016,57823000,NA,1,Links to FNDDS,Base,0.744418
2015/2016,58100000,NA,4,FNDDS recipe with modified SR codes,Base,0.465008
2015/2016,58100005,NA,4,FNDDS recipe with modified SR codes,Base,0.456187
2015/2016,58100010,NA,4,FNDDS recipe with modified SR codes,Base,0.517509
2015/2016,58100013,NA,2,Links to altEC,Base,0.934485
2015/2016,58100015,NA,1,Links to FNDDS,Extra,0.734765
2015/2016,58100020,NA,4,FNDDS recipe with modified SR codes,Base,0.47091
2015/2016,58100100,NA,4,FNDDS recipe with modified SR codes,Base,0.986394
2015/2016,58100120,NA,4,FNDDS recipe with modified SR codes,Base,0.738722
2015/2016,58100135,NA,4,FNDDS recipe with modified SR codes,Base,0.909526
2015/2016,58100140,NA,4,FNDDS recipe with modified SR codes,Base,0.697015
