parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
75215509,"Christophine, cooked, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
75215509,"Christophine, cooked, NS as to fat added in cooking",11150.0,"Chayote, fruit, cooked, boiled, drained, without salt",160.0
75215510,"Christophine, cooked, fat not added in cooking",2047.0,"Salt, table",1.0
75215510,"Christophine, cooked, fat not added in cooking",11150.0,"Chayote, fruit, cooked, boiled, drained, without salt",160.0
75216000,"Corn, cooked, NS as to form, NS as to color, NS as to fat added in cooking",2047.0,"Salt, table",1.0
75216000,"Corn, cooked, NS as to form, NS as to color, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
75216000,"Corn, cooked, NS as to form, NS as to color, NS as to fat added in cooking",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
75216001,"Corn, cooked, from fresh, NS as to color, NS as to fat added in cooking",2047.0,"Salt, table",1.0
75216001,"Corn, cooked, from fresh, NS as to color, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
75216001,"Corn, cooked, from fresh, NS as to color, NS as to fat added in cooking",11168.0,"Corn, sweet, yellow, cooked, boiled, drained, without salt",164.0
75216002,"Corn, cooked, from frozen, NS as to color, NS as to fat added in cooking",2047.0,"Salt, table",1.0
75216002,"Corn, cooked, from frozen, NS as to color, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
75216002,"Corn, cooked, from frozen, NS as to color, NS as to fat added in cooking",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
75216003,"Corn, cooked, from canned, NS as to color, NS as to fat added in cooking",2047.0,"Salt, table",0.4
75216003,"Corn, cooked, from canned, NS as to color, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
75216003,"Corn, cooked, from canned, NS as to color, NS as to fat added in cooking",11172.0,"Corn, sweet, yellow, canned, whole kernel, drained solids",164.0
75216010,"Corn, cooked, NS as to form, NS as to color, fat not added in cooking",2047.0,"Salt, table",1.0
75216010,"Corn, cooked, NS as to form, NS as to color, fat not added in cooking",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
75216011,"Corn, cooked, from fresh, NS as to color, fat not added in cooking",2047.0,"Salt, table",1.0
75216011,"Corn, cooked, from fresh, NS as to color, fat not added in cooking",11168.0,"Corn, sweet, yellow, cooked, boiled, drained, without salt",164.0
75216012,"Corn, cooked, from frozen, NS as to color, fat not added in cooking",2047.0,"Salt, table",1.0
75216012,"Corn, cooked, from frozen, NS as to color, fat not added in cooking",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
75216013,"Corn, cooked, from canned, NS as to color, fat not added in cooking",2047.0,"Salt, table",0.4
75216013,"Corn, cooked, from canned, NS as to color, fat not added in cooking",11172.0,"Corn, sweet, yellow, canned, whole kernel, drained solids",164.0
75216020,"Corn, cooked, NS as to form, NS as to color, fat added in cooking, NS as to type of fat",2047.0,"Salt, table",1.0
75216020,"Corn, cooked, NS as to form, NS as to color, fat added in cooking, NS as to type of fat",4323.0,"Table fat, averaged",4.729
75216020,"Corn, cooked, NS as to form, NS as to color, fat added in cooking, NS as to type of fat",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
75216021,"Corn, cooked, from fresh, NS as to color, fat added in cooking, NS as to type of fat",2047.0,"Salt, table",1.0
75216021,"Corn, cooked, from fresh, NS as to color, fat added in cooking, NS as to type of fat",4323.0,"Table fat, averaged",4.729
75216021,"Corn, cooked, from fresh, NS as to color, fat added in cooking, NS as to type of fat",11168.0,"Corn, sweet, yellow, cooked, boiled, drained, without salt",164.0
75216022,"Corn, cooked, from frozen, NS as to color, fat added in cooking, NS as to type of fat",2047.0,"Salt, table",1.0
75216022,"Corn, cooked, from frozen, NS as to color, fat added in cooking, NS as to type of fat",4323.0,"Table fat, averaged",4.729
75216022,"Corn, cooked, from frozen, NS as to color, fat added in cooking, NS as to type of fat",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
75216023,"Corn, cooked, from canned, NS as to color, fat added in cooking, NS as to type of fat",2047.0,"Salt, table",0.4
75216023,"Corn, cooked, from canned, NS as to color, fat added in cooking, NS as to type of fat",4323.0,"Table fat, averaged",4.729
75216023,"Corn, cooked, from canned, NS as to color, fat added in cooking, NS as to type of fat",11172.0,"Corn, sweet, yellow, canned, whole kernel, drained solids",164.0
75216024,"Corn, cooked, NS as to form, NS as to color, made with oil",2047.0,"Salt, table",1.0
75216024,"Corn, cooked, NS as to form, NS as to color, made with oil",4322.0,"Vegetable oil, averaged",4.542
75216024,"Corn, cooked, NS as to form, NS as to color, made with oil",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
